○　都道府県別食料自給率の推移（カロリーベース）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,（単位：％）
,カロリーベース,,,,,,,,,,,,,,,,,,,,,,
,平成,,,,,,,,,,,,,,,,,,,,,令和,
,10年度,11年度,12年度,13年度,14年度,15年度　,16年度,17年度,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度,27年度,28年度,29年度,30年度,元年度,"２年度
(概算値)"
全　国,40,40,40,40,40,40,40,40,39,40,41,40,39,39,39,39,39,39,38,38,37,38,37
北海道,192,178,176,183,190,192,200,201,195,198,210,190,174,191,200,198,207,222,185,206,196,216,217
青　森,118,121,117,118,115,84,117,116,118,119,121,121,120,112,118,118,124,124,120,117,120,123,125
岩　手,101,106,103,101,102,86,106,103,105,104,106,108,112,103,105,105,111,110,103,101,106,107,105
宮　城,80,81,81,81,81,64,84,79,79,80,76,79,81,69,72,74,76,73,72,70,74,73,72
秋　田,163,163,157,158,158,167,141,164,175,177,176,174,172,178,177,181,191,197,192,188,190,205,200
山　形,129,129,128,129,128,131,122,128,133,132,133,134,139,132,133,136,142,142,139,137,135,145,143
福　島,76,81,79,82,82,79,85,82,84,85,85,87,90,72,72,76,77,77,75,75,78,78,77
茨　城,66,71,72,70,72,72,72,72,71,69,72,72,72,70,72,72,75,70,70,72,70,66,68
栃　木,68,74,76,75,77,76,81,75,72,74,74,75,74,75,72,75,73,70,70,68,73,71,71
群　馬,34,34,34,33,34,35,34,34,34,33,34,34,30,33,34,34,33,33,32,33,33,32,32
埼　玉,12,12,12,12,12,12,12,11,11,11,11,11,10,11,11,11,11,10,10,10,10,10,10
千　葉,30,30,30,29,29,30,30,29,29,29,30,29,29,29,28,28,28,27,27,26,26,24,24
東　京,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
神奈川,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
新　潟,91,94,92,96,98,99,89,94,100,99,99,100,101,102,103,104,105,105,112,103,107,109,111
富　山,70,74,74,75,76,77,72,72,77,73,76,77,78,77,74,76,78,83,79,76,78,76,75
石　川,47,50,48,49,49,50,48,47,49,48,49,49,50,50,48,49,48,51,49,47,48,47,46
福　井,64,66,64,66,64,67,66,63,66,64,66,64,67,66,64,65,64,68,68,66,66,66,64
山　梨,21,21,21,20,21,21,21,20,20,19,20,20,20,20,20,19,19,19,20,19,19,19,18
長　野,52,53,52,52,53,53,53,53,53,52,53,52,53,52,53,53,52,54,53,54,53,53,51
岐　阜,23,26,26,26,27,27,26,25,25,25,26,24,26,26,26,26,26,25,24,25,24,25,24
静　岡,19,19,18,18,18,18,18,18,18,18,17,17,17,18,17,17,17,17,17,16,16,15,15
愛　知,13,14,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,12,11
三　重,42,44,43,43,44,42,42,42,44,42,43,41,44,42,43,43,43,42,42,40,40,39,38
滋　賀,54,54,53,52,54,51,53,52,52,50,50,50,51,49,50,50,50,51,51,49,48,49,47
京　都,13,13,13,13,13,13,13,12,13,13,13,12,13,12,12,13,12,13,12,12,12,12,11
大　阪,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
兵　庫,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15
奈　良,14,15,15,14,15,15,15,14,15,15,15,15,15,15,14,15,14,15,15,14,14,14,13
和歌山,29,31,30,31,30,30,29,30,29,31,31,31,29,30,29,30,30,30,29,28,28,28,27
鳥　取,63,62,62,63,62,62,57,59,60,57,62,60,64,63,63,62,62,63,62,63,62,61,60
島　根,67,63,63,62,63,63,63,63,64,64,65,66,66,70,66,67,65,65,66,67,66,61,60
岡　山,43,40,40,40,40,41,37,37,39,37,40,40,39,39,37,37,36,36,36,37,36,36,35
広　島,24,23,24,25,24,25,23,24,23,24,24,24,24,24,24,24,23,23,23,23,22,21,21
山　口,36,33,34,35,34,34,28,33,32,33,35,34,34,34,32,32,31,32,32,32,32,29,24
徳　島,48,48,47,47,47,47,44,44,44,45,48,46,45,44,44,45,43,42,43,42,41,41,41
香　川,38,38,38,39,38,40,35,36,36,36,37,37,38,36,36,37,34,34,35,34,33,33,33
愛　媛,42,41,40,42,41,41,38,40,38,41,41,39,38,38,37,37,37,37,37,36,36,35,34
高　知,44,45,46,46,46,48,44,47,46,49,52,51,48,49,47,48,47,47,46,47,47,43,43
福　岡,21,20,22,22,22,22,19,22,19,22,23,22,21,21,21,20,20,20,19,20,20,19,17
佐　賀,93,87,98,96,100,94,84,96,66,101,107,101,95,99,95,91,91,93,87,93,95,72,85
長　崎,42,41,41,43,42,43,41,42,38,45,46,46,43,46,44,44,44,46,45,47,45,39,38
熊　本,63,53,61,62,63,62,52,58,56,61,61,61,61,61,58,59,60,58,58,58,59,56,55
大　分,55,45,54,54,54,55,46,48,45,51,52,51,51,50,48,48,49,46,47,47,47,42,40
宮　崎,62,58,62,61,60,62,60,62,63,57,65,67,66,65,63,67,67,66,66,65,64,60,61
鹿児島,88,76,80,83,83,80,78,83,83,85,91,95,90,86,81,88,84,84,87,82,79,78,77
沖　縄,37,40,33,34,31,33,27,28,28,33,40,34,34,23,29,27,30,25,36,33,27,34,32
